snapshot,kingdom,basisOfRecord,occurrenceCount
9/25/09,3,HUMAN_OBSERVATION,260
9/25/09,3,LIVING_SPECIMEN,29062
9/25/09,3,OBSERVATION,33173
9/25/09,3,PRESERVED_SPECIMEN,70776
9/25/09,3,UNKNOWN,54421
9/25/09,4,FOSSIL_SPECIMEN,46781
9/25/09,4,HUMAN_OBSERVATION,755493
9/25/09,4,LIVING_SPECIMEN,3761
9/25/09,4,OBSERVATION,1698822
9/25/09,4,PRESERVED_SPECIMEN,124781
9/25/09,4,UNKNOWN,169833
9/25/09,5,FOSSIL_SPECIMEN,244
9/25/09,5,HUMAN_OBSERVATION,15670
9/25/09,5,LITERATURE,387
9/25/09,5,LIVING_SPECIMEN,100593
9/25/09,5,OBSERVATION,696422
9/25/09,5,PRESERVED_SPECIMEN,1821897
9/25/09,5,UNKNOWN,470783
9/25/09,6,FOSSIL_SPECIMEN,82801
9/25/09,6,HUMAN_OBSERVATION,1797433
9/25/09,6,LITERATURE,48726
9/25/09,6,LIVING_SPECIMEN,429144
9/25/09,6,OBSERVATION,25295237
9/25/09,6,PRESERVED_SPECIMEN,16866279
9/25/09,6,UNKNOWN,16134327
9/25/09,7,FOSSIL_SPECIMEN,530
9/25/09,7,HUMAN_OBSERVATION,627
9/25/09,7,LIVING_SPECIMEN,2565
9/25/09,7,OBSERVATION,123264
9/25/09,7,PRESERVED_SPECIMEN,201873
9/25/09,7,UNKNOWN,9987
9/25/09,8,FOSSIL_SPECIMEN,1
9/25/09,8,LIVING_SPECIMEN,214
9/25/09,8,UNKNOWN,564
12/16/09,0,FOSSIL_SPECIMEN,39690
12/16/09,0,HUMAN_OBSERVATION,34944
12/16/09,0,LITERATURE,210
12/16/09,0,LIVING_SPECIMEN,1219
12/16/09,0,OBSERVATION,362159
12/16/09,0,PRESERVED_SPECIMEN,274168
12/16/09,0,UNKNOWN,283750
12/16/09,1,FOSSIL_SPECIMEN,741146
12/16/09,1,HUMAN_OBSERVATION,499575
12/16/09,1,LITERATURE,132078
12/16/09,1,LIVING_SPECIMEN,1551
12/16/09,1,OBSERVATION,88373593
12/16/09,1,PRESERVED_SPECIMEN,25868854
12/16/09,1,UNKNOWN,12969925
12/16/09,2,LIVING_SPECIMEN,400
12/16/09,2,PRESERVED_SPECIMEN,459
12/16/09,2,UNKNOWN,134
12/16/09,3,FOSSIL_SPECIMEN,649
12/16/09,3,HUMAN_OBSERVATION,260
12/16/09,3,LIVING_SPECIMEN,29062
12/16/09,3,OBSERVATION,33173
12/16/09,3,PRESERVED_SPECIMEN,70775
12/16/09,3,UNKNOWN,54421
12/16/09,4,FOSSIL_SPECIMEN,46828
12/16/09,4,HUMAN_OBSERVATION,756110
12/16/09,4,LIVING_SPECIMEN,3761
12/16/09,4,OBSERVATION,1698832
12/16/09,4,PRESERVED_SPECIMEN,124642
12/16/09,4,UNKNOWN,169816
12/16/09,5,FOSSIL_SPECIMEN,275
12/16/09,5,HUMAN_OBSERVATION,15670
12/16/09,5,LITERATURE,387
12/16/09,5,LIVING_SPECIMEN,100593
12/16/09,5,OBSERVATION,696953
12/16/09,5,PRESERVED_SPECIMEN,1908695
12/16/09,5,UNKNOWN,474073
12/16/09,6,FOSSIL_SPECIMEN,90677
12/16/09,6,HUMAN_OBSERVATION,1797433
12/16/09,6,LITERATURE,48726
12/16/09,6,LIVING_SPECIMEN,494632
12/16/09,6,OBSERVATION,25561719
12/16/09,6,PRESERVED_SPECIMEN,17725106
12/16/09,6,UNKNOWN,16164533
12/16/09,7,FOSSIL_SPECIMEN,531
12/16/09,7,HUMAN_OBSERVATION,637
12/16/09,7,LIVING_SPECIMEN,2565
12/16/09,7,OBSERVATION,123270
12/16/09,7,PRESERVED_SPECIMEN,201873
12/16/09,7,UNKNOWN,9987
12/16/09,8,FOSSIL_SPECIMEN,1
12/16/09,8,LIVING_SPECIMEN,214
12/16/09,8,UNKNOWN,564
4/1/10,0,FOSSIL_SPECIMEN,39692
4/1/10,0,HUMAN_OBSERVATION,47272
4/1/10,0,LITERATURE,202
4/1/10,0,LIVING_SPECIMEN,1204
4/1/10,0,OBSERVATION,365960
4/1/10,0,PRESERVED_SPECIMEN,282111
4/1/10,0,UNKNOWN,287435
4/1/10,1,FOSSIL_SPECIMEN,741157
4/1/10,1,HUMAN_OBSERVATION,573007
4/1/10,1,LITERATURE,136340
4/1/10,1,LIVING_SPECIMEN,1552
4/1/10,1,OBSERVATION,88741447
4/1/10,1,PRESERVED_SPECIMEN,26673051
4/1/10,1,UNKNOWN,13122518
4/1/10,2,LIVING_SPECIMEN,400
4/1/10,2,PRESERVED_SPECIMEN,459
4/1/10,2,UNKNOWN,134
4/1/10,3,FOSSIL_SPECIMEN,649
4/1/10,3,HUMAN_OBSERVATION,887
4/1/10,3,LIVING_SPECIMEN,29062
4/1/10,3,OBSERVATION,33173
4/1/10,3,PRESERVED_SPECIMEN,72642
4/1/10,3,UNKNOWN,54433
4/1/10,4,FOSSIL_SPECIMEN,46903
4/1/10,4,HUMAN_OBSERVATION,940461
4/1/10,4,LIVING_SPECIMEN,3761
4/1/10,4,OBSERVATION,1696196
4/1/10,4,PRESERVED_SPECIMEN,175697
4/1/10,4,UNKNOWN,273260
4/1/10,5,FOSSIL_SPECIMEN,275
4/1/10,5,HUMAN_OBSERVATION,18741
